clean_path,reverb_path,rir_path,rir_type,Mean T60,Mean DRR
./ACE_Dereverb_Dataset_1000_unique/clean_10/0010__M1s3__Crucif_EE_lobby_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0010__M1s3__Crucif_EE_lobby_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Building_Lobby/1/Crucif_EE_lobby_1_RIR.wav,RIR,0.770103195,6.674457218
./ACE_Dereverb_Dataset_1000_unique/clean_10/0011__M9s4__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0011__M9s4__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0012__M3s3__Mobile_611_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0012__M3s3__Mobile_611_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Meeting_Room_2/1/Mobile_611_1_RIR.wav,RIR,0.372926331,5.820512229
./ACE_Dereverb_Dataset_1000_unique/clean_10/0013__F4s1__Crucif_502_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0013__F4s1__Crucif_502_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Office_1/2/Crucif_502_2_RIR.wav,RIR,0.301613422,3.923814612
./ACE_Dereverb_Dataset_1000_unique/clean_10/0014__M3s2__Crucif_508_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0014__M3s2__Crucif_508_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Lecture_Room_1/1/Crucif_508_1_RIR.wav,RIR,0.626387085,10.95660865
./ACE_Dereverb_Dataset_1000_unique/clean_10/0015__F2s2__Mobile_502_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0015__F2s2__Mobile_502_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Office_1/2/Mobile_502_2_RIR.wav,RIR,0.31237821,3.962965741
./ACE_Dereverb_Dataset_1000_unique/clean_10/0016__F5s1__Mobile_403a_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0016__F5s1__Mobile_403a_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Lecture_Room_2/2/Mobile_403a_2_RIR.wav,RIR,1.234286386,4.027562336
./ACE_Dereverb_Dataset_1000_unique/clean_10/0017__M2s2__Lin8Ch_508_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0017__M2s2__Lin8Ch_508_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Lecture_Room_1/1/Lin8Ch_508_1_RIR.wav,RIR,0.644988956,6.708137543
./ACE_Dereverb_Dataset_1000_unique/clean_10/0018__M3s5__Lin8Ch_EE_lobby_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0018__M3s5__Lin8Ch_EE_lobby_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Building_Lobby/2/Lin8Ch_EE_lobby_2_RIR.wav,RIR,0.742350198,6.391654568
./ACE_Dereverb_Dataset_1000_unique/clean_10/0019__F5s5__Crucif_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0019__F5s5__Crucif_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Meeting_Room_2/2/Crucif_611_2_RIR.wav,RIR,0.384639369,8.359693874
./ACE_Dereverb_Dataset_1000_unique/clean_10/0020__F3s1__Lin8Ch_508_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0020__F3s1__Lin8Ch_508_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Lecture_Room_1/2/Lin8Ch_508_2_RIR.wav,RIR,0.627708732,6.829727197
./ACE_Dereverb_Dataset_1000_unique/clean_10/0021__M1s4__Chromebook_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0021__M1s4__Chromebook_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Chromebook/Meeting_Room_2/2/Chromebook_611_2_RIR.wav,RIR,0.340098543,7.005943535
./ACE_Dereverb_Dataset_1000_unique/clean_10/0022__M4s1__Mobile_508_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0022__M4s1__Mobile_508_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Lecture_Room_1/1/Mobile_508_1_RIR.wav,RIR,0.673542953,9.803930203
./ACE_Dereverb_Dataset_1000_unique/clean_10/0023__M5s4__Lin8Ch_502_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0023__M5s4__Lin8Ch_502_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Office_1/2/Lin8Ch_502_2_RIR.wav,RIR,0.307129167,4.931555964
./ACE_Dereverb_Dataset_1000_unique/clean_10/0024__F4s2__Lin8Ch_EE_lobby_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0024__F4s2__Lin8Ch_EE_lobby_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Building_Lobby/2/Lin8Ch_EE_lobby_2_RIR.wav,RIR,0.742350198,6.391654568
./ACE_Dereverb_Dataset_1000_unique/clean_10/0025__F4s3__Mobile_503_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0025__F4s3__Mobile_503_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Meeting_Room_1/2/Mobile_503_2_RIR.wav,RIR,0.449363622,3.135359072
./ACE_Dereverb_Dataset_1000_unique/clean_10/0026__M2s1__Chromebook_508_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0026__M2s1__Chromebook_508_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Chromebook/Lecture_Room_1/1/Chromebook_508_1_RIR.wav,RIR,0.538447051,5.952751752
./ACE_Dereverb_Dataset_1000_unique/clean_10/0027__F3s1__Lin8Ch_611_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0027__F3s1__Lin8Ch_611_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/1/Lin8Ch_611_1_RIR.wav,RIR,0.374889519,10.06426466
./ACE_Dereverb_Dataset_1000_unique/clean_10/0028__F4s2__Crucif_508_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0028__F4s2__Crucif_508_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Lecture_Room_1/1/Crucif_508_1_RIR.wav,RIR,0.626387085,10.95660865
./ACE_Dereverb_Dataset_1000_unique/clean_10/0029__M5s2__Crucif_503_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0029__M5s2__Crucif_503_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Meeting_Room_1/2/Crucif_503_2_RIR.wav,RIR,0.446989167,2.078798976
./ACE_Dereverb_Dataset_1000_unique/clean_10/0030__F5s4__Lin8Ch_502_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0030__F5s4__Lin8Ch_502_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Office_1/2/Lin8Ch_502_2_RIR.wav,RIR,0.307129167,4.931555964
./ACE_Dereverb_Dataset_1000_unique/clean_10/0031__F5s5__Lin8Ch_503_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0031__F5s5__Lin8Ch_503_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_1/1/Lin8Ch_503_1_RIR.wav,RIR,0.465154969,10.23892335
./ACE_Dereverb_Dataset_1000_unique/clean_10/0032__M5s5__Lin8Ch_403a_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0032__M5s5__Lin8Ch_403a_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Lecture_Room_2/2/Lin8Ch_403a_2_RIR.wav,RIR,1.247232576,4.090049787
./ACE_Dereverb_Dataset_1000_unique/clean_10/0033__F5s2__Crucif_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0033__F5s2__Crucif_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Meeting_Room_2/2/Crucif_611_2_RIR.wav,RIR,0.384639369,8.359693874
./ACE_Dereverb_Dataset_1000_unique/clean_10/0034__M5s1__Crucif_403a_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0034__M5s1__Crucif_403a_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Lecture_Room_2/2/Crucif_403a_2_RIR.wav,RIR,1.232764757,5.059908268
./ACE_Dereverb_Dataset_1000_unique/clean_10/0035__M1s5__Crucif_508_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0035__M1s5__Crucif_508_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Lecture_Room_1/2/Crucif_508_2_RIR.wav,RIR,0.645095394,5.782508838
./ACE_Dereverb_Dataset_1000_unique/clean_10/0036__M4s3__Lin8Ch_503_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0036__M4s3__Lin8Ch_503_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_1/2/Lin8Ch_503_2_RIR.wav,RIR,0.473804418,6.801708601
./ACE_Dereverb_Dataset_1000_unique/clean_10/0037__F1s5__Chromebook_502_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0037__F1s5__Chromebook_502_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Chromebook/Office_1/1/Chromebook_502_1_RIR.wav,RIR,0.335631212,3.520587098
./ACE_Dereverb_Dataset_1000_unique/clean_10/0038__F1s3__Mobile_803_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0038__F1s3__Mobile_803_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Office_2/1/Mobile_803_1_RIR.wav,RIR,0.391513476,4.057743717
./ACE_Dereverb_Dataset_1000_unique/clean_10/0039__F1s2__Chromebook_502_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0039__F1s2__Chromebook_502_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Chromebook/Office_1/1/Chromebook_502_1_RIR.wav,RIR,0.335631212,3.520587098
./ACE_Dereverb_Dataset_1000_unique/clean_10/0040__F3s2__Lin8Ch_502_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0040__F3s2__Lin8Ch_502_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Office_1/1/Lin8Ch_502_1_RIR.wav,RIR,0.351943828,11.48465884
./ACE_Dereverb_Dataset_1000_unique/clean_10/0041__F1s5__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0041__F1s5__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0042__M7s4__Mobile_503_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0042__M7s4__Mobile_503_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Meeting_Room_1/1/Mobile_503_1_RIR.wav,RIR,0.454515759,3.795543691
./ACE_Dereverb_Dataset_1000_unique/clean_10/0043__M4s5__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0043__M4s5__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0044__M5s4__Lin8Ch_503_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0044__M5s4__Lin8Ch_503_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_1/2/Lin8Ch_503_2_RIR.wav,RIR,0.473804418,6.801708601
./ACE_Dereverb_Dataset_1000_unique/clean_10/0045__M2s2__Lin8Ch_503_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0045__M2s2__Lin8Ch_503_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_1/1/Lin8Ch_503_1_RIR.wav,RIR,0.465154969,10.23892335
./ACE_Dereverb_Dataset_1000_unique/clean_10/0046__F4s2__Crucif_403a_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0046__F4s2__Crucif_403a_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Lecture_Room_2/1/Crucif_403a_1_RIR.wav,RIR,1.287868705,9.705948694
./ACE_Dereverb_Dataset_1000_unique/clean_10/0047__M4s3__Chromebook_403a_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0047__M4s3__Chromebook_403a_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Chromebook/Lecture_Room_2/1/Chromebook_403a_1_RIR.wav,RIR,1.303473771,3.06585196
./ACE_Dereverb_Dataset_1000_unique/clean_10/0048__M2s2__Lin8Ch_611_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0048__M2s2__Lin8Ch_611_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/1/Lin8Ch_611_1_RIR.wav,RIR,0.374889519,10.06426466
./ACE_Dereverb_Dataset_1000_unique/clean_10/0049__M4s3__Lin8Ch_503_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0049__M4s3__Lin8Ch_503_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_1/1/Lin8Ch_503_1_RIR.wav,RIR,0.465154969,10.23892335
./ACE_Dereverb_Dataset_1000_unique/clean_10/0050__M7s4__Lin8Ch_EE_lobby_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0050__M7s4__Lin8Ch_EE_lobby_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Building_Lobby/2/Lin8Ch_EE_lobby_2_RIR.wav,RIR,0.742350198,6.391654568
./ACE_Dereverb_Dataset_1000_unique/clean_10/0051__F1s5__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0051__F1s5__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0052__F2s2__Crucif_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0052__F2s2__Crucif_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Meeting_Room_2/2/Crucif_611_2_RIR.wav,RIR,0.384639369,8.359693874
./ACE_Dereverb_Dataset_1000_unique/clean_10/0053__M2s3__Lin8Ch_611_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0053__M2s3__Lin8Ch_611_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/1/Lin8Ch_611_1_RIR.wav,RIR,0.374889519,10.06426466
./ACE_Dereverb_Dataset_1000_unique/clean_10/0054__F3s5__Crucif_803_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0054__F3s5__Crucif_803_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Office_2/1/Crucif_803_1_RIR.wav,RIR,0.395792129,2.204816404
./ACE_Dereverb_Dataset_1000_unique/clean_10/0055__F5s5__Mobile_503_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0055__F5s5__Mobile_503_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Meeting_Room_1/2/Mobile_503_2_RIR.wav,RIR,0.449363622,3.135359072
./ACE_Dereverb_Dataset_1000_unique/clean_10/0056__M5s1__Chromebook_502_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0056__M5s1__Chromebook_502_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Chromebook/Office_1/2/Chromebook_502_2_RIR.wav,RIR,0.328317417,4.303361394
./ACE_Dereverb_Dataset_1000_unique/clean_10/0057__M2s1__Crucif_502_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0057__M2s1__Crucif_502_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Office_1/2/Crucif_502_2_RIR.wav,RIR,0.301613422,3.923814612
./ACE_Dereverb_Dataset_1000_unique/clean_10/0058__M6s3__Lin8Ch_503_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0058__M6s3__Lin8Ch_503_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_1/1/Lin8Ch_503_1_RIR.wav,RIR,0.465154969,10.23892335
./ACE_Dereverb_Dataset_1000_unique/clean_10/0059__M5s5__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0059__M5s5__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0060__F4s3__Lin8Ch_803_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0060__F4s3__Lin8Ch_803_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Office_2/2/Lin8Ch_803_2_RIR.wav,RIR,0.380298369,7.385285014
./ACE_Dereverb_Dataset_1000_unique/clean_10/0061__F1s4__Lin8Ch_502_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0061__F1s4__Lin8Ch_502_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Office_1/1/Lin8Ch_502_1_RIR.wav,RIR,0.351943828,11.48465884
./ACE_Dereverb_Dataset_1000_unique/clean_10/0062__M2s3__Mobile_502_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0062__M2s3__Mobile_502_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Office_1/1/Mobile_502_1_RIR.wav,RIR,0.32656595,7.431172307
./ACE_Dereverb_Dataset_1000_unique/clean_10/0063__F5s1__Lin8Ch_503_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0063__F5s1__Lin8Ch_503_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_1/2/Lin8Ch_503_2_RIR.wav,RIR,0.473804418,6.801708601
./ACE_Dereverb_Dataset_1000_unique/clean_10/0064__F3s2__Lin8Ch_EE_lobby_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0064__F3s2__Lin8Ch_EE_lobby_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Building_Lobby/1/Lin8Ch_EE_lobby_1_RIR.wav,RIR,0.728499237,10.35365698
./ACE_Dereverb_Dataset_1000_unique/clean_10/0065__M5s1__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0065__M5s1__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0066__F2s2__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0066__F2s2__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0067__F5s5__Lin8Ch_803_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0067__F5s5__Lin8Ch_803_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Office_2/2/Lin8Ch_803_2_RIR.wav,RIR,0.380298369,7.385285014
./ACE_Dereverb_Dataset_1000_unique/clean_10/0068__F3s3__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0068__F3s3__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0069__M5s2__Lin8Ch_611_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0069__M5s2__Lin8Ch_611_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/1/Lin8Ch_611_1_RIR.wav,RIR,0.374889519,10.06426466
./ACE_Dereverb_Dataset_1000_unique/clean_10/0070__M1s2__Lin8Ch_EE_lobby_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0070__M1s2__Lin8Ch_EE_lobby_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Building_Lobby/2/Lin8Ch_EE_lobby_2_RIR.wav,RIR,0.742350198,6.391654568
./ACE_Dereverb_Dataset_1000_unique/clean_10/0071__F2s1__Crucif_EE_lobby_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0071__F2s1__Crucif_EE_lobby_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Crucif/Building_Lobby/2/Crucif_EE_lobby_2_RIR.wav,RIR,0.741222781,3.234854036
./ACE_Dereverb_Dataset_1000_unique/clean_10/0072__F2s2__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0072__F2s2__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0073__F5s1__Lin8Ch_611_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0073__F5s1__Lin8Ch_611_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Lin8Ch/Meeting_Room_2/2/Lin8Ch_611_2_RIR.wav,RIR,0.373183602,10.29714174
./ACE_Dereverb_Dataset_1000_unique/clean_10/0074__F2s4__Chromebook_EE_lobby_2_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0074__F2s4__Chromebook_EE_lobby_2_RIR_reverb.wav,./ACE_Corpus_RIRN_Chromebook/Building_Lobby/2/Chromebook_EE_lobby_2_RIR.wav,RIR,0.661817134,2.813342704
./ACE_Dereverb_Dataset_1000_unique/clean_10/0075__F3s1__Mobile_611_1_RIR_clean.wav,./ACE_Dereverb_Dataset_1000_unique/reverberant_10/0075__F3s1__Mobile_611_1_RIR_reverb.wav,./ACE_Corpus_RIRN_Mobile/Meeting_Room_2/1/Mobile_611_1_RIR.wav,RIR,0.372926331,5.820512229
